title,price,discount,extra_info_3,likes,extra_info_2,course_subject
"쉽게 배우고, 포트폴리오로 만드는 반응형 웹! #설화수","₩45,100",24%,초급,323,(7시간 57분),"프론트엔드, 웹 퍼블리싱"
깡샘의 쌩초보 안드로이드 One Day Class – Part7 파이어베이스와 연동하기,"₩17,600",할인 없음,초급,4,(3시간 3분),"모바일 앱 개발, 데이터베이스"
깡샘의 쌩초보 안드로이드 One Day Class – Part5 컴포넌트 이해하기,"₩35,200",할인 없음,초급,1,(6시간 47분),"모바일 앱 개발, Android"
깡샘의 쌩초보 안드로이드 One Day Class – Part2 코틀린 이해하기,"₩26,400",할인 없음,초급,1,(5시간 4분),"프로그래밍 언어, Kotlin"
웹크롤링 with 파이썬,"₩55,000",할인 없음,초급,7,(4시간 30분),세부 주제 없음
입문자를 위한 Docker 및 Dockerizing 마스터하기,"₩29,700",할인 없음,입문,127,(1시간 55분),"데브옵스 · 인프라, 백엔드"
틴더 파이어베이스 클론 | 리액트 네이티브,"₩74,800",할인 없음,중급이상,30,(3시간 53분),"모바일 앱 개발, 풀스택"
[중급편] 코인 가격 모니터링 앱 제작 (Android Kotlin),"₩49,500",25%,중급이상,106,(5시간 20분),모바일 앱 개발
[입문] 누구나 배울 수 있는 코틀린(Kotlin),"₩11,000",할인 없음,입문,22,(3시간 55분),"프로그래밍 언어, Kotlin"
AI 웹 프로그래밍 (Streamlit),"₩44,000",할인 없음,입문,40,(9시간 56분),"웹 개발, 데이터 분석"
ChatGPT API 입문 강의 - 30분 만에 다국어 번역기 웹 풀스택 개발하기,"₩7,700",할인 없음,입문,116,(56분),"풀스택, 웹 개발"
깃헙 블로그(Github blog)로 차별화 된 나만의 홈페이지 만들기!,"₩11,000",할인 없음,입문,194,(2시간 46분),"개발 · 프로그래밍, 개인 브랜딩"
SW 개발자를 위한 성능 좋은 SQL 쿼리 작성법,"₩132,000",할인 없음,중급이상,858,(6시간 12분),데이터베이스
Vue.js - Django 연동 웹 프로그래밍,"₩33,000",할인 없음,초급,943,(4시간 41분),"웹 개발, 풀스택"
Google Apps Script로 시작하는 업무 자동화,"₩22,000",할인 없음,입문,46,(2시간 34분),업무 자동화
초보자를 위한 Git 필수 강의,"₩38,500",할인 없음,입문,41,(3시간 48분),"기획 · PM· PO, 개발 도구"
하루만에 배우는 express with AWS,"₩19,800",할인 없음,초급,71,(7시간 49분),백엔드
빠른 취업을 위한 프론트엔드 로드맵,"₩19,800",할인 없음,입문,127,(3시간 33분),"취업 · 이직, 프론트엔드"
R3F(React + Three.js / Typescript)로 인터렉티브 포트폴리오 만들기,"₩125,510",30%,초급,33,(11시간 32분),"인터랙티브 웹, Three.js"
유닉스 기초 (Introduction to Unix),가격 정보 없음,할인 없음,초급,8,(12시간 49분),"개발 · 프로그래밍, 운영체제"
웹의 시작 - HTTP의 탄생과 기초를 쉽게 이해하는 시간,가격 정보 없음,할인 없음,입문,22,(32분),"http, 인프런 퇴근길 밋업"
자료구조와 알고리즘 기초 (Data Structure and Algorithms),가격 정보 없음,할인 없음,입문,42,(4시간 52분),"알고리즘 · 자료구조, 대학"
함께하는 오픈소스 기여 - 100명의 개발자 분들을 도와 100개 넘는 오픈소스 PR을 만들고 세상을 함께 바꿔가는 이야기,가격 정보 없음,할인 없음,입문,23,(29분),"개발 · 프로그래밍, 커리어 · 자기계발"
"비동기 프로그래밍: Promise, async/await 끝장내기 강의",가격 정보 없음,할인 없음,초급,60,(1시간 18분),"웹 개발, 비동기프로그래밍"
SQLD 2주만에 따는 필승 합격법: 최신 개정판 기출문제로 초단기 공략,"₩89,100",할인 없음,입문,22,(13시간 54분),"데이터 사이언스 자격증, SQLD"
코스페이시스 창의융합프로젝트 (Cospaces),가격 정보 없음,할인 없음,입문,2,(9시간 38분),"VR/AR, 블록코딩"
