title,price,discount,extra_info_3,likes,extra_info_2,course_subject
실전! 스타트업 데이터 기반 의사 결정 [월간 데이터리안 세미나 다시보기 | 2023년 4월],"₩33,000",할인 없음,입문,18,(1시간 54분),"데이터 분석, 마케팅"
"파이썬 셀레니움 고급편 (python selenium - 크롤링, 크롤러)","₩297,000",할인 없음,중급이상,94,(3시간 33분),"업무 자동화, 데이터 분석"
[에피소드] 엑셀+파이썬(기초),"₩11,000",할인 없음,초급,22,(2시간 53분),"데이터 분석, 오피스"
SQL과 구글시트로 시작하는 데이터분석,"₩19,800",할인 없음,입문,235,추가 정보 없음,"데이터 분석, 데이터베이스"
파이썬 빅데이터분석 기초,가격 정보 없음,할인 없음,초급,14,(14시간 38분),세부 주제 없음
SQL 왕초보를 위한 해커랭크로 배우는 실전 SQL,"₩27,230",17%,입문,48,(3시간 30분),"데이터베이스, 데이터 분석"
태블로 집합의 모든 것,"₩16,500",할인 없음,중급이상,214,(1시간 10분),데이터 분석
태블로를 활용한 고객 획득 및 유지 패턴 분석,"₩16,500",할인 없음,중급이상,357,(1시간 12분),데이터 분석
웰컴 투 태블로 월드,가격 정보 없음,할인 없음,초급,512,(6시간 17분),데이터 분석
공공데이터 CSV 파일을 이용해 테이블 만들기,"₩39,600",할인 없음,중급이상,61,(6시간 29분),"데이터 분석, 데이터베이스"
[빅데이터 러닝센터] (무료) KoreaPlus Statistics : 1편 Text Analytics,가격 정보 없음,할인 없음,초급,9,(1시간 17분),데이터 분석
SQLD 실전문제 풀이(1과목),"₩88,000",할인 없음,초급,25,(2시간 48분),"데이터 사이언스 자격증, 데이터 분석"
비전공자/고등학생을 위한 인공지능 기초와 커리어 조언,"₩44,000",할인 없음,입문,23,(4시간 52분),"취업 · 이직, 데이터 사이언스"
오늘 배워서 내일 실무에 적용하는 Tableau 데이터 시각화,"₩141,900",할인 없음,입문,18,(5시간 30분),데이터 분석
캐글 설문조사로 데이터 분석 입문하기,가격 정보 없음,할인 없음,초급,811,(2시간 40분),데이터 분석
R로 하는 네트워크 분석,"₩33,000",할인 없음,중급이상,359,(3시간 18분),데이터 분석
텍스트마이닝 실전 프로젝트 - 우리집 주변 맛집 랭킹 매기기,"₩33,000",할인 없음,중급이상,411,(5시간 23분),데이터 분석
R로 하는 텍스트마이닝 (Top keyword부터 감성분석까지),"₩44,000",할인 없음,초급,612,(4시간 10분),"데이터 분석, 데이터 분석"
비전공자를 위한 가장 쉬운 데이터분석 입문,"₩22,000",할인 없음,입문,377,(4시간 25분),"데이터 분석, 프로그래밍 언어"
산점도 예제로 배우는 R 데이터 시각화,가격 정보 없음,할인 없음,중급이상,74,(1시간 24분),데이터 분석
오렌지3 창의융합프로젝트 (Orange3),가격 정보 없음,할인 없음,입문,3,(2시간 29분),세부 주제 없음
