title,price,discount,extra_info_3,likes,extra_info_2,course_subject
[PL 0301] 파이썬 가상환경과 아나콘다,가격 정보 없음,할인 없음,입문,18,(2시간 29분),"프로그래밍 언어, Anaconda"
"Gen AI RAG 실전 가이드, Langchain을 활용한 AI 챗봇 완전정복","₩89,100",할인 없음,초급,20,(6시간 53분),"AI · ChatGPT 활용, RAG"
[PY 0205] 인공지능을 위한 파이썬 레벨4 - 객체와 클래스,"₩15,400",할인 없음,초급,12,(23시간 42분),"프로그래밍 언어, 딥러닝 · 머신러닝"
AI 리터러시의 이해,가격 정보 없음,할인 없음,입문,30,(6시간 23분),"교양, 인공지능(AI)"
ChatGPT 프롬프트 엔지니어링 마스터 가이드 : 내 연봉의 숫자가 달라지는 마법 도구,"₩79,200",할인 없음,입문,107,(3시간 57분),"업무 자동화, ChatGPT"
AI활용 디지털전환 (Digital Transformation Using AI),가격 정보 없음,할인 없음,입문,5,(11시간 37분),"AI · ChatGPT 활용, 인공지능(AI)"
GPTs로 생산성 10배 높이기 - 프롬프트 프레임워크 활용으로 차원이 다른 결과를 만들자,"₩55,000",할인 없음,초급,10,(2시간 46분),"AI · ChatGPT 활용, 업무 자동화"
데이터 마이닝,가격 정보 없음,할인 없음,초급,32,(7시간 52분),딥러닝 · 머신러닝
LLM Application 개발 경험 공유회,가격 정보 없음,할인 없음,초급,128,(1시간 36분),"AI · ChatGPT 활용, 자연어 처리"
파이썬 머신러닝,"₩69,300",할인 없음,중급이상,68,(10시간 42분),"데이터 분석, 딥러닝 · 머신러닝"
쏙쏙 이해되는 강화학습 핵심이론,"₩55,000",할인 없음,초급,222,(5시간 2분),세부 주제 없음
프로그래머를 위한 강화학습(저자 직강),"₩66,000",할인 없음,초급,422,(6시간 48분),"데이터 분석, 딥러닝 · 머신러닝"
김일한의 인공지능을 위한 텐서플로2 + 케라스 라이브러리 실전 적용,"₩66,000",할인 없음,초급,123,(7시간 21분),딥러닝 · 머신러닝
자바 머신러닝 weka(웨카) 중급,"₩33,000",할인 없음,중급이상,227,(6시간 14분),데이터 분석
"ChatGPT 질문법, 똑똑한 사람은 어떻게 생각하고 질문하는가","₩88,000",할인 없음,초급,11,(3시간 0분),"업무 자동화, AI · ChatGPT 활용"
"AI에게 좋은 답을 얻으려면, AI처럼 생각하라! 컴퓨팅 사고력","₩110,000",할인 없음,입문,9,(4시간 37분),"개발 · 프로그래밍, 데이터 사이언스"
딥러닝과 데이터분석을 위한 기초수학 (w.파이썬),"₩110,000",할인 없음,입문,43,(7시간 44분),"데이터 분석, 딥러닝 · 머신러닝"
두근두근 인공지능 - 실습편 -,"₩132,000",할인 없음,입문,10,(3시간 41분),딥러닝 · 머신러닝
모두를 위한 ChatGPT Part 1 - ChatGPT를 이용한 업무자동화와 파이썬 입문,"₩44,000",할인 없음,입문,112,(5시간 29분),업무 자동화
GPT 논문 구현으로 배우는 딥러닝 논문 구현 with TensorFlow 2.0 Part 1,"₩110,000",할인 없음,중급이상,39,(4시간 27분),"데이터 분석, AI · ChatGPT 활용"
TensorFlow로 배우는 심층 강화학습 입문 - Deep Reinforcement Learning,"₩88,000",할인 없음,중급이상,30,(5시간 21분),세부 주제 없음
2024년 가장 최신의 ChatGPT 마스터 클래스,"₩66,000",할인 없음,입문,49,(7시간 17분),"AI · ChatGPT 활용, 업무 자동화"
챗GPT 이해와 활용,"₩77,000",할인 없음,초급,5,(11시간 51분),"AI · ChatGPT 활용, ChatGPT"
CEO 및 리더를 위한 제조 혁신과 AI 빅데이터,"₩99,000",할인 없음,초급,5,(7시간 11분),딥러닝 · 머신러닝
Python을 이용한 딥러닝 활용,"₩132,000",할인 없음,초급,9,(12시간 55분),딥러닝 · 머신러닝
